word,phonemes,label
sjálfsmynd,start S Y AE UW L V S,M
mykja,start M IH,AE
freðmýri,start F R EH,DH
sónötuform,start S OH UW N AE,T
óhapp,start OH,UW
kirkjugarður,start IH K AE R DH,R
margæs,start M AE R AE,IH
melablóm,start M EH,L
foss,start F,AO
vanrækja,start V AE N R,AE
saltfiskur,start S AE T F IH S K,R
eitill,start,EH
stör,start S T AE,R
kæruleysi,start AE IH R L EH,IH
merkúr,start M,EH
skjór,start S OH,UW
temja,start T EH M,Y
blóðflaga,start P L OH,UW
títt,start T IH HH,T
hvæs,start K V AE,IH
matreiðslubók,start,M
hryssingslegur,start IH,S
tilfinningalegur,start T IH L F IH,N
hnellinn,start EH L IH,N
atvinnumaður,start AE T V IH N M AE DH,R
frísneskur,start F R IH S,N
blár,start,P
bónus,start P OH UW,N
tækisfall,start,T
atvinna,start AE T V IH,N
sveittur,start S V EH IH HH,T
bekkjarfélagi,start P EH HH AE R F Y EH L AE,Y
orðasafn,start AO,R
aðstæður,start AE,DH
jóhannes,start Y OH UW HH AE N EH,S
soffía,start S,AO
framferði,start F R AE M F EH R,DH
mosagróinn,start M,AO
rauðíkorni,start R,DH
hrelling,start,EH
vilmundur,start V IH L M,N
víður,start V IH DH R,stop
ákavíti,start AE UW,K
moska,start M AO S K,AE
nafnorð,start N AE P N AO,R
kúlulega,start K UW,L
jen,start Y EH,N
skjaldarmerkjafræði,start S AE L T AE,R
salt,start S AE T,stop
óvild,start OH UW V IH,L
mótbára,start M OH UW T P AE UW R,AE
leiðangur,start L EH IH DH AE UW NG K R,stop
bæjasvala,start P AE IH Y AE S V AE L,AE
blettur,start P L EH HH T,R
stokkhólmur,start,S
mastur,start M AE S T,R
skeina,start S EH IH N AE,stop
vasaklútur,start V AE,S
eitill,start EH IH T IH T L,stop
átthyrningur,start AE UW,HH
sjávarfugl,start,S
ó,start OH,UW
herdís,start HH EH,R
leikhús,start L EH IH K HH UW,S
lesblinda,start L EH S P,L
dýragarður,start T IH R AE K AE R DH,R
hálfsystir,start HH AE UW L V,S
prenta,start P R EH T,AE
þjóðsöngur,start TH Y OH UW DH S,NG
lauf,start L,V
nía,start N IH,Y
nauðgari,start N DH K AE,R
fingurbjörg,start,F
tigl,start T IH,K
forrita,start F AO R IH T AE,stop
gangur,start K AE UW NG K,R
vinátta,start V IH N AE,UW
gullfiskur,start,K
sía,start S IH Y,AE
þykkja,start TH IH HH AE,stop
uppgerð,start HH P,EH
manneskja,start M AE N,EH
indriðason,start IH N T,R
kjarnavopn,start AE R T N AE V AO HH P,N
tékkneskur,start,T
sinnuma,start S IH N M AE,stop
mynstur,start M N S T R,stop
markslá,start M AE K S,T
branda,start P R AE N T,AE
drottnari,start T R AO HH T N AE R IH,stop
breiddargráða,start P R EH IH T AE R K,R
spurnarfornafn,start S P R T N AE R F AO R,N
beitiland,start P EH,IH
dymbilvika,start T IH M P,IH
yfirtónn,start IH V IH R,T
snækobbi,start S N AE IH,K
predikari,start P R EH T IH K AE R,IH
heilnóta,start,HH
rýra,start,R
lífefnafræði,start L IH V EH P N AE F,R
rangstaða,start R,AE
friggjarlykill,start F R IH AE R L,IH
búfé,start P UW F,Y
kettlingur,start EH HH T L IH NG K R,stop
reykvískur,start R EH IH K,V
lófatölva,start L OH UW V AE T AE L V,AE
verkaskipting,start V EH,K
sjáland,start S Y AE,UW
tittlingur,start T IH HH T,L
vísifingur,start V IH,S
hór,start HH,OH
yfirlit,start IH V IH R L,IH
varkárni,start V AE K,AE
kortér,start K AO T Y,EH
afbaka,start AE V,P
prófun,start P R OH UW,V
fang,start F AE UW,NG
snilli,start S T N,IH
grjón,start,K
vettlingur,start V,EH
hvítmosi,start K V IH T M AO S,IH
skaðlegur,start,S
seyði,start S EH IH DH,IH
viðskeyti,start V IH DH S EH IH,T
vöndull,start V,AE
hégilja,start,EH
apótek,start AE P OH UW T EH,K
muldur,start M L T R,stop
eymundur,start EH IH M N T,R
hlutgrúpa,start T K R UW P AE,stop
akarn,start AE K,AE
nábúi,start N AE UW P UW,IH
teppi,start T EH HH P IH,stop
jafnaðarstefna,start Y AE P,N
geirfríður,start EH IH F R IH,DH
rennibraut,start R EH N,IH
bliða,start,P
keisaraskurður,start EH IH S AE R AE S K R DH R,stop
þrettándi,start TH R EH HH T AE UW N T IH,stop
hamingja,start,HH
klakkur,start K L AE HH,K
prússland,start P R UW S T,L
sjóða,start S Y OH UW,DH
innfeldi,start IH N F,EH
furðulegur,start F R DH,L
ryk,start R IH,K
myrða,start M IH R DH,AE
framan,start,F
bikar,start P IH K AE,R
greind,start,K
uppblástur,start HH P P L,AE
hrafntinna,start AE P N,T
hálmstrá,start HH,AE
matreiðslubók,start M AE T R EH IH DH S T,L
óákveðinn,start OH UW,AE
rödd,start R AE T,stop
skeljamura,start S,EH
slóvakíska,start S T L OH UW,V
hornblendi,start HH AO R T N P L EH,N
eff,start,EH
sleikur,start S T L EH IH K R,stop
elli,start EH T L EH IH N,T
jensína,start Y EH N S IH,N
valdimaría,start,V
krimmi,start K R IH M,IH
mæðgur,start M AE IH DH,K
alþingi,start AE L TH,IH
amerískur,start AE M EH,R
typpi,start T IH HH P,IH
dráttarvél,start,T
þátttaka,start TH,AE
pípetta,start P IH P EH HH T AE,stop
kjúklingur,start UW,HH
forði,start F AO,R
saltaður,start S AE T AE DH R,stop
api,start AE P,IH
retta,start R,EH
firð,start,F
hálfnótuþögn,start HH AE UW L V,N
hlymja,start IH M Y AE,stop
nýtur,start,N
gautaborg,start,K
efi,start EH V,IH
þriðjudagur,start TH,R
heimalið,start HH EH IH M,AE
slitna,start S T L,IH
prinsipissa,start P R IH N S IH P IH S,AE
kvöldmatur,start,K
bora,start P AO R AE,stop
ítreka,start IH T R EH,K
jórtra,start Y OH UW T R,AE
bassetthorn,start P AE S EH,HH
hvítmosi,start K V IH T M AO,S
stórfenglegur,start S T OH UW F,EH
brydda,start P R,IH
leika,start L EH IH K,AE
tjalli,start T Y AE L,IH
læknisfræði,start L AE,IH
mislingar,start M IH,S
floti,start,F
sverð,start,S
fullur,start,F
rugga,start,R
belgi,start P EH L IH,stop
buxnaklauf,start P,S
geldingalauf,start EH L T IH NG,K
skrúðganga,start,S
hreiður,start EH IH DH R,stop
púa,start P,UW
ástaróbó,start,AE
krókódíll,start K R OH,UW
geirþrúður,start,EH
við,start V IH DH,stop
tætingur,start T AE IH T,IH
hvolpur,start K,V
skilaboð,start S,IH
hirðuleysi,start HH IH R,DH
farlama,start F,AE
uppspretta,start,HH
léttvatn,start L Y EH HH T V AE,HH
markteigur,start M AE K T,EH
balsamedik,start,P
grímur,start K,R
frelsari,start F R EH L,S
hlíðaburkni,start IH DH AE P,K
pamfíll,start P,AE
föðurlandsvinur,start F AE DH R L AE N S V,IH
marxisti,start M AE K S IH,S
snær,start S N,AE
seyta,start S EH,IH
hreyfing,start EH IH V,IH
hjólastóll,start OH UW,L
lífefnafræði,start L IH V EH P N,AE
salat,start S AE L,AE
kýr,start IH R,stop
flórens,start F L OH UW,R
ágóði,start AE UW,K
afmælisgjöf,start AE V,M
orðaleikur,start,AO
björn,start P Y AE T N,stop
stilling,start S T IH T L IH NG,K
vottur,start V AO HH,T
hnífasmiður,start IH,V
skoppa,start S K,AO
hneggja,start EH AE,stop
nörd,start N AE R,T
skíði,start S,IH
afstæði,start AE F S T AE IH DH IH,stop
stöðva,start S T AE DH V,AE
þúsundblaðarós,start TH UW S,N
rabítur,start R,AE
einmanaleiki,start EH IH N M,AE
dís,start,T
kára,start,K
slésvík,start S T L Y EH S,V
frakkland,start F R AE HH K L AE N,T
glæpamaður,start K L AE IH,P
teskeið,start T EH S K EH IH DH,stop
storkur,start S,T
fyrirgangur,start F IH R IH R K AE UW,NG
markmaður,start M AE K M,AE
hrafnastör,start AE P N AE S,T
risna,start R IH S T,N
fótleggur,start F OH UW T L EH K,R
rykkur,start R IH HH,K
þumalputtaregla,start TH M AE L P HH,T
hjólreiðabraut,start OH UW L R EH IH DH AE P R T,stop
frestun,start F R,EH
heiðarlegur,start,HH
gashylki,start K AE,S
skikkja,start S K IH,HH
talenta,start,T
matseðill,start M AE T,S
flissa,start F L IH S,AE
aðlaðandi,start AE DH L AE DH AE N T,IH
kröfuganga,start K R AE V K AE UW,NG
kreditkort,start K R EH T IH,T
laslegur,start L AE S,L
sorta,start,S
hóf,start HH,OH
setningafræði,start S EH,HH
séríslenskur,start S Y EH R IH S T L,EH
minkur,start M IH,K
auðvald,start,DH
brjóstsviði,start P R Y OH UW S T S V IH,DH
knipla,start K N,IH
sinfóníuhljómsveit,start S IH N F OH UW N IH Y Y OH UW M S,V
tónlistarskóli,start T OH UW N L IH S T AE R S K OH UW,L
hæstiréttur,start HH AE IH S T IH R Y,EH
mund,start M N T,stop
steikarhnífur,start S T EH IH K AE R IH,V
sykur,start S IH K R,stop
siga,start S,IH
júdea,start Y UW T,EH
orðhluti,start AO R DH T,IH
sótthreinsa,start S,OH
stofna,start,S
brundur,start P,R
brottfall,start P,R
dólgur,start T OH UW L K,R
félagi,start,F
pára,start P AE,UW
afganistan,start AE V K AE,N
núll,start N UW,L
únsa,start UW,N
þekking,start TH EH,HH
þúsundblaðarós,start TH UW S N T P L AE DH AE R OH UW,S
átthyrningur,start AE UW HH T HH IH R T,N
hrossafluga,start,AO
amba,start,AE
skadda,start S,K
símaklefi,start S IH M AE K L EH V,IH
borðtennis,start P AO R DH,T
stjórnborði,start S T Y OH UW R T N,P
brjóstbein,start P R,Y
veðja,start,V
botnlangabólga,start P AO HH T N L AE UW NG K AE P OH,UW
andlagsfall,start AE N T L AE S,F
bergsóley,start P EH R K S OH UW L EH IH,stop
púsluspil,start P UW S T L S,P
jötunn,start Y AE T N,stop
hedd,start,HH
langkrækill,start L AE UW NG K K,R
herkinn,start,HH
tromp,start,T
lyng,start L IH NG,K
stell,start S T EH T L,stop
alin,start,AE
rit,start,R
imbakassi,start,IH
brjánn,start P R Y AE UW T,N
menning,start M EH N,IH
ólöglegur,start OH,UW
stirðna,start S,T
sofir,start S,AO
símaklefi,start S IH,M
umfang,start M F AE UW NG,K
troga,start,T
kommúnisti,start K AO M UW N,IH
mosasteinbrjótur,start M AO S AE,S
sólsetur,start,S
skruma,start,S
aðgangur,start AE DH K AE UW NG K R,stop
arnór,start AE R T N,OH
gata,start K,AE
löstur,start L,AE
umskera,start M S,EH
jarðhiti,start Y AE R,DH
niðurstaða,start N IH DH R S T AE DH AE,stop
snifsi,start S,T
indæll,start,IH
ok,start AO K,stop
hálfnótuþögn,start,HH
viftureim,start V IH F T R EH,IH
mannvirðing,start,M
legbólga,start L EH P OH,UW
árósar,start AE UW R OH UW,S
mustarður,start M S,T
trumba,start T R M P AE,stop
guðfræði,start K V,DH
brauðmoli,start P R DH M AO L,IH
veikla,start V EH IH,HH
víxl,start V,IH
víg,start,V
akbraut,start AE K P,R
tennis,start T EH N IH S,stop
klettasalat,start K L EH HH T AE S AE L AE,T
spik,start,S
mænudeyfing,start M AE IH N T,EH
munnmök,start M N,M
bókaútgáfa,start P OH UW K AE,UW
barna,start,P
bandaríkin,start P AE N T AE R IH IH N,stop
pétursborg,start P,Y
vasareiknir,start V,AE
skartgripasali,start S K AE T K R IH P AE S AE L,IH
sútun,start S,UW
poppkorn,start P AO HH P K AO R,T
folald,start F AO L AE L,T
gunnlaugur,start K N L,R
pat,start P,AE
aðfangadagur,start AE DH F AE,UW
hera,start HH,EH
sandfok,start S AE N T,F
kvikmynd,start K V IH K,M
maurígull,start M R IH T L,stop
eign,start EH IH K N,stop
hamingjusamur,start HH,AE
vínberjalögur,start V IH N P,EH
skurðaðgerð,start S K R DH AE DH EH,R
sinn,start S IH,N
burst,start P S,T
hnýfill,start IH,V
lappland,start L AE HH P L AE N T,stop
bíta,start P IH,T
heildun,start HH,EH
dómpápi,start T OH UW M,P
detta,start T EH HH T AE,stop
sveindís,start,S
sáðfruma,start,S
hérmeð,start EH R M EH,DH
fyllilega,start F IH T L IH L EH,AE
rúsína,start R UW S IH,N
aðgerðaáætlun,start AE DH EH R DH AE UW AE,IH
blettatígur,start P,L
hnetubrjótur,start EH T P R Y OH,UW
dísa,start T,IH
þægindi,start,TH
sellerí,start,S
fallbeyging,start F AE T L B EH IH Y IH NG K,stop
sýgill,start S IH Y,IH
sullur,start S T L,R
veiklun,start V EH IH,HH
suðvestur,start S,DH
ávarpsfall,start AE UW,V
skinka,start S IH,K
kljúfa,start K L Y UW V,AE
máltækni,start M AE UW L T AE IH HH K,N
rupla,start R,HH
lambakjöt,start L AE M P AE AE,T
klarínetta,start K L AE,R
vinkill,start V,IH
muldra,start M L T,R
heyja,start HH EH,IH
forstaða,start,F
saxland,start S AE S L AE N T,stop
sníkill,start S,T
hansen,start HH AE N,S
gullintoppa,start K T L,IH
tamur,start T,AE
græðgi,start K R AE IH,DH
kvæði,start K V AE IH DH,IH
tilfinninganæmur,start T IH L F IH N IH NG,K
jöklaklukka,start Y,AE
ófreskja,start OH UW F R EH,S
járnöld,start Y AE UW R T,N
þrenningarmaðra,start TH R EH N,IH
dýrafræði,start T IH R AE F R,AE
ólöglega,start OH UW,L
seiður,start S,EH
stjórnpallur,start S T,Y
björt,start,P
skipaskurður,start S IH P AE,S
skandall,start S,K
gustuk,start K S T K,stop
máltíð,start,M
þúbróðir,start TH UW P,R
rök,start R,AE
kumbaraland,start K M,P
safnari,start,S
nánd,start N AE,UW
frásögn,start F R AE UW S AE,K
kúbein,start K UW P,EH
búðingur,start,P
bárujárn,start P AE UW R Y AE UW R T,N
þang,start TH AE UW,NG
hvap,start K V AE,P
steinefni,start S T EH IH N EH P N IH,stop
lengja,start L EH IH AE,stop
upphaf,start HH,P
hneykja,start,EH
gimbur,start IH M P R,stop
mývatn,start M IH V AE T N,stop
jana,start Y AE,N
valda,start V AE L,T
slefa,start S T L EH V AE,stop
flaka,start F,L
undirfylking,start N T IH F,IH
saft,start S AE,F
hávella,start HH AE UW V EH T L AE,stop
glundur,start K L N T,R
bak,start P,AE
padda,start P AE T AE,stop
tófugras,start T OH UW V K R AE S,stop
rismál,start R IH S M AE,UW
tunga,start T UW NG K,AE
talmynd,start T AE,L
skjálfti,start S AE,UW
skánn,start,S
eind,start,EH
stjórnborði,start S T Y OH UW,R
hjú,start UW,stop
eldur,start EH L T R,stop
klumpur,start K L,P
ýla,start IH,L
jólakúla,start,Y
lakka,start L AE,HH
hefti,start HH,EH
stríð,start S T R,IH
bekkjarlalli,start P EH HH AE,R
lifa,start,L
fern,start F EH R T,N
styggur,start S T IH,K
helmingur,start HH,EH
styrkleiki,start,S
sandali,start S,AE
bæheimskur,start P AE IH HH EH IH,M
kyrking,start IH IH NG K,stop
þýfi,start TH,IH
einhver,start EH IH K V EH R,stop
flákaský,start F L,AE
montinn,start M AO,T
vilja,start V IH,L
hálfvirði,start HH AE UW,L
kátur,start K AE UW T,R
hrár,start AE,UW
vefja,start V,EH
erfðamengi,start EH R V DH AE M EH,IH
ákefð,start,AE
ýmis,start IH,M
króna,start K R OH,UW
fartölva,start,F
grænspæta,start K R AE IH N S P AE,IH
hrefna,start,EH
hækkun,start HH AE IH HH K N,stop
karst,start,K
níelsína,start,N
forsæla,start F AO S AE,IH
skepna,start S EH HH P N AE,stop
ást,start AE,UW
samhaldssamur,start S AE M HH AE L T,S
blóð,start P L OH UW,DH
rafgas,start,R
vefsíða,start V EH F,S
bretónska,start P,R
korpa,start K AO P AE,stop
sögumaður,start S AE M AE DH R,stop
allteins,start AE T EH,IH
flæða,start F L AE IH DH,AE
fjölkynngi,start F Y AE L IH IH,stop
fellafífill,start F EH T L AE F IH V IH T,L
bókasafn,start P OH UW K,AE
nálgunarbann,start N AE UW L K N AE R,P
hljóðbók,start OH UW DH P OH UW,K
ending,start EH N,T
vita,start V IH,T
nafnháttur,start,N
ósíris,start,OH
hvolfa,start K,V
heiðarlegur,start HH EH,IH
göfugur,start K,AE
millimetri,start M IH L IH M EH T R IH,stop
bogastrengur,start P AO AE S T R EH,IH
vínarborg,start V IH N AE R P AO,R
laukur,start L K,R
samhengi,start S AE M HH,EH
fjandmaður,start,F
jafnaldri,start Y,AE
efnasamband,start EH P N AE S AE M P,AE
arkitekt,start AE IH T EH,T
pæla,start P AE IH L AE,stop
flautuleikari,start F L T L EH IH K AE R,IH
más,start,M
stífur,start S T IH V R,stop
stjórnleysi,start S T Y OH UW R T N L EH IH S,IH
fjólmundur,start F,Y
ingimundína,start IH NG IH M N,T
aðalakkeri,start AE DH AE L AE HH K EH R IH,stop
júkki,start,Y
upptrekktur,start HH P T,R
ómögulegur,start OH UW M,AE
fylgja,start F IH L,AE
taugakerfi,start T,AE
torg,start T AO R K,stop
rjúpa,start,R
bakkus,start P AE HH K,S
gripur,start,K
hýrna,start HH IH R T,N
afrit,start,AE
glymja,start K L IH M Y,AE
kynkvísl,start IH N K,V
fúlmár,start F UW L M AE,UW
nýr,start N IH R,stop
ugga,start K,AE
bjarnheiður,start P Y,AE
miðmyndarsögn,start M IH DH M,IH
hafa,start HH AE V AE,stop
bruggari,start P R,K
sagnbeyging,start S AE K N P EH IH Y IH NG K,stop
brynjólfína,start P,R
neysla,start N EH IH S T L AE,stop
kex,start,EH
knattspyrnufélag,start K N AE HH T S P IH,R
verðlaun,start V EH R DH L,N
grunnendurlífgun,start K R N EH N T,R
sofna,start S AO P N AE,stop
þúfutittlingur,start TH UW V T,IH
frumufræði,start F R M F R,AE
félagaskiptagluggi,start F Y EH L,AE
eiturlyfjasali,start EH IH T R L IH V Y AE S AE L IH,stop
aðalmerki,start,AE
brennisóley,start,P
brynjúlfur,start,P
blóðbað,start P L OH UW DH,P
snifsi,start S T N IH,F
hrappur,start AE,HH
hreyfing,start EH,IH
brekkusnigill,start P R EH HH K,S
númer,start N UW M EH,R
vinátta,start V IH N AE UW HH,T
þurfa,start TH R,V
stara,start S T AE R,AE
ofbeldi,start AO V P,EH
meðleikur,start M EH DH L EH IH,K
skapvondur,start S K AE P,V
lögmaður,start,L
lensutungljurt,start,L
frakkneskur,start F R AE HH K N,EH
handaband,start HH,AE
grennd,start,K
einn,start EH IH T,N
víóla,start V IH Y OH UW,L
óþægindi,start OH UW TH AE IH Y IH,N
frísneska,start F R IH S N EH S,K
hjólabretti,start OH UW L AE P,R
leiðsla,start L EH IH DH S T L,AE
biskupsdæmi,start P IH S K P S T,AE
leðja,start L EH DH,Y
trúarjátning,start T R UW AE R Y AE UW HH T N,IH
sérstakur,start,S
ræðinn,start R AE IH DH IH,N
eiginhandaráritun,start EH IH Y IH N HH,AE
askur,start,AE
festi,start F EH S T,IH
áfergja,start AE UW F EH R,AE
náttúrulegur,start N AE UW HH T UW R L EH R,stop
kvaðratrót,start K V AE DH,R
afmæli,start AE V M,AE
sparnaður,start S P AE R T N,AE
kínakál,start IH,N
beður,start,P
morfín,start M,AO
elli,start EH,T
slæða,start S,AE
málvísindi,start,M
vasaþjófur,start V AE S AE TH Y OH UW V,R
ásamt,start AE UW,S
hné,start Y EH,stop
indriðason,start IH N T R IH DH AE S AO N,stop
blekking,start P L,EH
sleppa,start S T L EH HH P,AE
bræðsla,start P R AE IH DH S T,L
esóp,start EH S OH UW P,stop
raki,start R AE,IH
fundur,start F N T,R
fjarlægja,start F Y AE R L AE IH,Y
hjón,start OH UW N,stop
sálarfræði,start S AE,UW
fjöldamorð,start F Y AE L T AE M AO R DH,stop
tími,start T IH,M
máta,start M AE,UW
fjallaþinur,start F Y AE T L,AE
blævængur,start P,L
sveppafræði,start S,V
mála,start M AE,UW
reigja,start R EH IH,Y
kvæna,start K V AE IH N AE,stop
skráning,start S,K
hattari,start HH AE HH T AE R IH,stop
stífkrampi,start S T IH V,K
peningamarkaðssjóður,start P EH N IH NG K AE M AE K AE DH S S Y OH UW DH R,stop
gróður,start K R OH,UW
gullfiskur,start K T L F IH S,K
óléttur,start OH UW L,Y
bæjarstjóri,start,P
kunnur,start K N R,stop
fálki,start F,AE
kokhlust,start K AO K,S
arabíska,start,AE
veiklun,start,V
ufsi,start F S IH,stop
snjór,start S N Y OH,UW
beiti,start P EH IH T,IH
karbónat,start K AE R P OH UW N AE,T
steinefni,start S T EH IH N EH P,N
krossfífill,start K R AO S F IH V,IH
krókódílstár,start K R OH,UW
hjartanykra,start AE T AE,N
klíka,start K L IH,K
ónáða,start OH UW N AE UW DH,AE
albanía,start AE L P AE N IH,Y
dilkur,start T IH,K
húðflúr,start HH,UW
pálmar,start P AE UW,L
ljóstillífun,start,L
drjóli,start,T
mestur,start M EH S T R,stop
sulta,start S T AE,stop
sleif,start S T L EH,IH
riflás,start R IH,V
kjúklingur,start UW HH K L IH NG K R,stop
brekkusnigill,start P,R
þyngdarsvið,start,TH
haraldína,start HH AE R,AE
bjarnheiður,start P Y AE R T,N
rasskinn,start R AE S IH,N
dæma,start T AE IH M AE,stop
friður,start F,R
hunang,start HH N,AE
kall,start,K
skera,start S,EH
hálfendir,start HH AE UW L V EH N T IH R,stop
föðursystir,start F AE DH R S IH S T IH,R
hálfviti,start HH AE UW L V V IH T,IH
hvika,start K V IH K,AE
fíkinn,start,F
ítali,start IH,T
gári,start K AE UW R IH,stop
vaxa,start,V
ferð,start F,EH
skjótur,start S,OH
ljóska,start L,Y
hallur,start HH AE T,L
gljúfur,start,K
vangi,start V AE,UW
dýjamosi,start T IH Y AE M AO S IH,stop
rauðvín,start R DH V,IH
myrða,start M IH R DH AE,stop
útskýring,start UW T,S
leikrit,start L EH IH,K
heimsvaldastefna,start HH EH IH M S V AE L T AE S T EH P,N
fley,start,F
kolvetni,start K AO L V EH,HH
bergkvika,start P EH R,K
prýði,start P R IH,DH
kverkar,start K V EH,K
fullyrða,start F T L,IH
fax,start F AE,S
drengur,start T R,EH
lettland,start L EH HH T,L
dagblaðapappír,start T AE P L AE DH AE P AE HH P IH R,stop
björk,start,P
nasismi,start N AE S,IH
senna,start S EH N,AE
eldast,start EH L T AE S T,stop
stjórn,start S T Y OH UW R T N,stop
rafeind,start R AE,V
kosning,start K AO S T,N
veðurfræði,start V EH EH DH R F R,AE
rista,start R,IH
tengdadóttir,start T EH IH NG,T
mári,start M,AE
hindber,start HH IH N T P EH,R
krónprins,start K R OH UW N P,R
dóná,start T OH UW N AE UW,stop
stjórnklefi,start S T Y OH UW R,T
blásýra,start P L AE,UW
brjósk,start B R Y OH UW S,K
stóðgarður,start,S
hárkolla,start HH AE UW R K AO T L,AE
ástaróbó,start AE UW S T AE,R
málmblásturshljóðfæri,start M AE UW L M P L AE UW S T S Y OH UW DH F AE IH R,IH
gáta,start,K
andaglas,start AE N T AE K,L
rafgeymir,start R AE V EH IH M IH R,stop
aldingarður,start AE L T IH N,K
ríkisborgararéttur,start R IH IH S P AO,R
jóný,start Y OH UW,N
kanill,start K,AE
duggönd,start T,K
hjaltalín,start,AE
fána,start F AE UW N AE,stop
tál,start T,AE
sepi,start S EH P IH,stop
brautryðjandi,start P R T R IH DH Y,AE
bílskúr,start P IH L S,K
eldstöð,start,EH
kalifornía,start,K
forrit,start F AO R R IH T,stop
mongólía,start M AO NG K OH UW L IH Y AE,stop
hershöfðingi,start HH EH S,HH
hátign,start HH AE UW T,IH
vænn,start V AE IH T,N
lögreglustöð,start L AE R EH K,L
kastari,start K AE,S
mæðgur,start M AE,IH
sjaldan,start S Y AE L T,AE
landafræði,start,L
purpuraþistill,start P,P
happ,start HH,AE
marmennill,start,M
vinna,start,V
herramaður,start HH,EH
aftaka,start AE V T,AE
nykra,start,N
erlendur,start EH R L,EH
efedrín,start EH F EH,T
fæðing,start F AE IH DH IH,NG
hetta,start HH EH,HH
skíðaþjálfari,start S IH DH AE TH Y AE UW,L
jónheiður,start Y OH UW N HH EH,IH
afríkufíll,start AE F R IH K F,IH
flensa,start F L,EH
bendir,start P EH,N
safn,start S,AE
séní,start S Y EH N,IH
tréspíri,start T R Y EH S P IH R IH,stop
afburður,start AE,V
samheiti,start S AE M HH EH IH T IH,stop
statistík,start S T AE T,IH
sirkus,start S IH K S,stop
handsprengja,start HH,AE
legkaka,start L EH K AE K AE,stop
hverflyndi,start K V EH R V L IH,N
skúlína,start,S
meðstjórnendur,start M EH DH S T Y OH UW,R
vista,start V IH S T,AE
servíetta,start,S
apalhraun,start AE,P
hýði,start HH IH DH IH,stop
kontrabassi,start K AO T R AE P AE S,IH
skinna,start S,K
tékkneskur,start T Y EH HH,K
heyrnartól,start HH EH IH R T N AE R T OH UW L,stop
kokhlust,start K,AO
niðurlæging,start N IH,DH
kaupstefna,start K P S T EH P N,AE
klúðra,start K L UW DH R AE,stop
æla,start AE,IH
rannsóknarstofa,start R AE N S OH UW HH K N AE R S T AO,V
þanki,start,TH
peningamarkaðssjóður,start P EH N IH NG K AE M AE K AE DH,S
skotland,start,S
brottvísun,start P,R
íþróttahús,start IH,TH
frjáls,start F R Y AE UW L S,stop
hróný,start OH UW N IH,stop
sykra,start S IH K,R
fornkirkjuslavneska,start F AO R,T
ferfætlingur,start F EH R F AE IH HH T L IH,NG
álfadrottning,start AE UW L V AE T R AO HH T N IH,NG
kanna,start K,AE
samkynhneigð,start S,AE
vegur,start,V
páskadagur,start P AE UW S,K
horfur,start HH AO,R
myndband,start,M
tröllkona,start T,R
deila,start T EH IH L AE,stop
öryggisfyrirtæki,start AE R IH IH S F IH R,IH
bræla,start P R AE,IH
tóm,start,T
bylja,start P IH L Y AE,stop
ofn,start AO,P
tíðahvörf,start T IH,DH
kraká,start,K
sýnishorn,start,S
einveldi,start,EH
farsi,start F AE,S
pera,start P EH R,AE
liþín,start L IH TH IH N,stop
hvítabjörn,start IH T AE P Y AE R,T
sorta,start S AO T AE,stop
viti,start V,IH
kontrafagott,start K AO T R,AE
vélfræðingur,start,V
froða,start F R AO DH,AE
skjóttur,start S OH UW HH T R,stop
slefa,start S T,L
botnlangatota,start P AO HH T N L,AE
leysibóla,start L,EH
okkur,start AO HH K R,stop
jónína,start Y OH UW N,IH
jarlsfrú,start Y AE R T L,S
íþrótt,start IH TH R OH UW,HH
litaröð,start L IH T AE R,AE
fíkinn,start F IH,IH
rjómi,start R Y OH UW M,IH
hjörtína,start AE,T
leikur,start L EH IH,K
puð,start P DH,stop
kreista,start K R EH IH,S
hunang,start HH N AE UW,NG
tögl,start T AE K L,stop
fangaklefi,start F AE UW NG K AE K L,EH
ritari,start R,IH
trumba,start T,R
meðstjórnendur,start M,EH
gjald,start AE,L
hrygla,start IH,K
stjörnufræði,start S T Y AE R T,N
hvítabjörn,start IH T AE P,Y
landráð,start L AE N T,R
prestastefna,start P R,EH
biskupsdæmi,start P IH S K P S,T
hedd,start HH,EH
ölkelduvatn,start AE L EH L T V,AE
iðja,start IH DH Y,AE
hendni,start,HH
samtenging,start S AE M,T
fingurbjargarblóm,start F IH NG K R P Y AE R K AE R,P
forseti,start F AO S EH T IH,stop
samhaldssamur,start S AE M HH AE L T S S,AE
vegasalt,start V,EH
óaðlaðandi,start,OH
bruggun,start P R K N,stop
hæstiréttur,start HH AE IH S T IH R Y EH HH T R,stop
kvabba,start K V AE P AE,stop
ýla,start,IH
erfiðisvinna,start EH R V IH DH,IH
spói,start S P OH UW IH,stop
þorkell,start TH AO EH,T
hnífasmíði,start,IH
ökuleyfi,start AE K,L
língresi,start,L
skadda,start S K,AE
lífvörður,start L IH V V AE R DH,R
hylling,start HH IH T L IH NG K,stop
samkennd,start S,AE
járna,start Y AE UW R T N,AE
rafeindasmásjá,start R AE V EH,IH
talsmaður,start T AE L S M AE DH R,stop
bremsa,start P R EH M S AE,stop
læti,start L,AE
hjarna,start AE R,T
miskunn,start M,IH
ræpa,start R AE IH P,AE
lesblindur,start L EH S P L IH N T R,stop
símgreiðsla,start S IH M K R,EH
alvarlegur,start AE L V AE,R
