word,ipa,ARPAbet
impulzivan,î m p u l z iː ʋ a n,M P UW L Z IH AE N
impulzivno,î m p u l z iː ʋ n o,M P UW L Z IH N OH
impulzivnost,i m p u l z ǐː ʋ n oː s t,IH M P UW L Z N OH S T
imputacija,i m p u t ǎː t͡s i j a,IH M P UW T IH Y AE
imputirati,i m p u t ǐː r a t i,IH M P UW T R AE T IH
imun,î m uː n,M UW N
imunitet,i m u n ǐ t eː t,IH M UW N T EH T
imunizacija,i m u n i z ǎː t͡s i j a,IH M UW N IH Z IH Y AE
imunizirati,i m u n i z ǐː r a t i,IH M UW N IH Z R AE T IH
imunologija,i m u n o l ǒ ɡ i j a,IH M UW N OH L G IH Y AE
imunološki,i m u n ǒ l o ʃ k i,IH M UW N L OH SH K IH
imunološki,i m u n ǒ l o ʃ k iː,IH M UW N L OH SH K IH
imunost,ǐ m uː n oː s t,M UW N OH S T
imućan,î m uː t͡ɕ a n,M UW AE N
imućnost,î m uː t͡ɕ n oː s t,M UW N OH S T
inadekvatan,î n a d e k ʋ a t a n,N AE D EH K AE T AE N
inat,ǐ n aː t,N AE T
inatiti,i n ǎː t i t i,IH N T IH T IH
inatljiv,i n ǎ t ʎ i ʋ,IH N T IH
inatljivo,i n ǎ t ʎ i ʋ o,IH N T IH OH
inauguracija,i n a u ɡ u r ǎː t͡s i j a,IH N AE UW G UW R IH Y AE
inauguralan,î n a u ɡ u r aː l a n,N AE UW G UW R AE L AE N
inaugurator,i n a u ɡ ǔ r aː t o r,IH N AE UW G R AE T OH R
inaugurirati,i n a u ɡ u r ǐː r a t i,IH N AE UW G UW R R AE T IH
inače,î n aː t͡ʃ e,N AE CH EH
inačica,i n ǎ t͡ʃ i t͡s a,IH N CH IH AE
incest,ǐ n t͡s e s t,N EH S T
incestuozan,î n t͡s e s t u oː z a n,N EH S T UW OH Z AE N
incident,i n t͡s ǐ d e n t,IH N D EH N T
indicija,ǐ n d iː t͡s i j a,N D IH IH Y AE
indija,ǐ n d i j a,N D IH Y AE
indijac,i n d ǐː j a t͡s,IH N D Y AE
indijanac,i n d i j ǎː n a t͡s,IH N D IH Y N AE
indijanka,i n d ǐ j aː n k a,IH N D Y AE N K AE
indijanski,i n d ǐ j aː n s k i,IH N D Y AE N S K IH
indijanski,i n d ǐ j aː n s k iː,IH N D Y AE N S K IH
indijski,ǐ n d iː j s k i,N D IH Y S K IH
indijski,ǐ n d iː j s k iː,N D IH Y S K IH
indikacija,i n d i k ǎː t͡s i j a,IH N D IH K IH Y AE
indikativ,î n d i k a t iː ʋ,N D IH K AE T IH
indirektan,î n d i r e k t a n,N D IH R EH K T AE N
indirektno,î n d i r e k t n o,N D IH R EH K T N OH
indiskrecija,i n d i s k r ěː t͡s i j a,IH N D IH S K R IH Y AE
indiskretan,î n d i s k r e t a n,N D IH S K R EH T AE N
indiskretno,î n d i s k r e t n o,N D IH S K R EH T N OH
indisponiran,i n d i s p ǒ n iː r a n,IH N D IH S P N IH R AE N
indisponirano,i n d i s p ǒ n iː r a n o,IH N D IH S P N IH R AE N OH
individua,i n d i ʋ ǐː d u a,IH N D IH D UW AE
individualan,î n d i ʋ i d u aː l a n,N D IH IH D UW AE L AE N
individualistički,i n d i ʋ i d u a l ǐ s t i t ʃ k i,IH N D IH IH D UW AE L S T IH T SH K IH
individualistički,i n d i ʋ i d u a l ǐ s t i t ʃ k iː,IH N D IH IH D UW AE L S T IH T SH K IH
individualizam,i n d i ʋ i d u a l ǐ z a m,IH N D IH IH D UW AE L Z AE M
individualno,î n d i ʋ i d u aː l n o,N D IH IH D UW AE L N OH
individualnost,i n d i ʋ i d u ǎː l n oː s t,IH N D IH IH D UW L N OH S T
individuum,i n d i ʋ ǐː d u u m,IH N D IH D UW UW M
indoeuropski,i n d o ě u r oː p s k iː,IH N D OH UW R OH P S K IH
indoevropski,i n d o ě ʋ r oː p s k iː,IH N D OH R OH P S K IH
indoktrinacija,i n d o k t r i n ǎː t͡s i j a,IH N D OH K T R IH N IH Y AE
indolencija,i n d o l ě n t͡s i j a,IH N D OH L N IH Y AE
indolentan,i n d o l ě n t a n,IH N D OH L N T AE N
indolentno,i n d o l ě n t n o,IH N D OH L N T N OH
indolentnost,i n d o l ě n t n oː s t,IH N D OH L N T N OH S T
indolog,i n d ǒ l o ɡ,IH N D L OH G
indologija,i n d o l ǒ ɡ i j a,IH N D OH L G IH Y AE
indološki,i n d ǒ l o ʃ k i,IH N D L OH SH K IH
indološki,i n d ǒ l o ʃ k iː,IH N D L OH SH K IH
indonezija,i n d ǒ n eː z i j a,IH N D N EH Z IH Y AE
indonezijski,i n d ǒ n eː z iː j s k iː,IH N D N EH Z IH Y S K IH
indonežanin,i n d o n ěː ʒ a n i n,IH N D OH N ZH AE N IH N
indukcija,i n d ǔ k t͡s i j a,IH N D K IH Y AE
induktivan,î n d u k t iː ʋ a n,N D UW K T IH AE N
induktivno,î n d u k t iː ʋ n o,N D UW K T IH N OH
industrija,i n d ǔ s t r i j a,IH N D S T R IH Y AE
industrijalizirati,i n d u s t r i j a l i z ǐː r a t i,IH N D UW S T R IH Y AE L IH Z R AE T IH
industrijski,i n d ǔ s t r iː j s k i,IH N D S T R IH Y S K IH
industrijski,i n d ǔ s t r iː j s k iː,IH N D S T R IH Y S K IH
inercija,i n ě r t͡s i j a,IH N R IH Y AE
inertan,i n ě r t a n,IH N R T AE N
inertno,i n ě r t n o,IH N R T N OH
infaman,ǐ n f aː m a n,N F AE M AE N
infantilan,î n f a n t iː l a n,N F AE N T IH L AE N
infantilizam,i n f a n t i l ǐ z a m,IH N F AE N T IH L Z AE M
infantilno,î n f a n t iː l n o,N F AE N T IH L N OH
infarkt,ǐ n f a r k t,N F AE R K T
infekcija,i n f ě k t͡s i j a,IH N F K IH Y AE
inferioran,î n f e r i oː r a n,N F EH R IH OH R AE N
inferiorno,î n f e r i oː r n o,N F EH R IH OH R N OH
infinitiv,î n f i n i t iː ʋ,N F IH N IH T IH
inflacija,i n f l ǎː t͡s i j a,IH N F L IH Y AE
inflacijski,i n f l ǎː t s iː j s k i,IH N F L T S IH Y S K IH
inflacijski,i n f l ǎː t s iː j s k iː,IH N F L T S IH Y S K IH
infleksija,i n f l ě k s i j a,IH N F L K S IH Y AE
inflorescencija,i n f l o r e s t͡s ěː n t͡s i j a,IH N F L OH R EH S N IH Y AE
informacija,i n f o r m ǎː t͡s i j a,IH N F OH R M IH Y AE
informatika,i n f o r m ǎ t i k a,IH N F OH R M T IH K AE
informativan,î n f o r m a t iː ʋ a n,N F OH R M AE T IH AE N
informativno,î n f o r m a t iː ʋ n o,N F OH R M AE T IH N OH
informatičar,i n f o r m ǎ t i t͡ʃ aː r,IH N F OH R M T IH CH AE R
informirati,i n f o r m ǐː r a t i,IH N F OH R M R AE T IH
infracrven,ǐ n f r a t͡s r ʋ e n,N F R AE R EH N
infrastruktura,i n f r a s t r u k t ǔː r a,IH N F R AE S T R UW K T R AE
infrastrukturni,i n f r a s t r ǔ k t uː r n iː,IH N F R AE S T R K T UW R N IH
infuzija,ǐ n f uː z i j a,N F UW Z IH Y AE
ingeniozan,î n ɡ e n i oː z a n,N G EH N IH OH Z AE N
inhalacija,i n x a l ǎː t͡s i j a,IH N AE L IH Y AE
inhalator,i n x ǎ l aː t o r,IH N L AE T OH R
inherentan,i n x e r ě n t a n,IH N EH R N T AE N
inhibicija,i n x i b ǐː t͡s i j a,IH N IH B IH Y AE
inicijal,i n i t͡s ǐ j aː l,IH N IH Y AE L
inicijalan,î n i t͡s i j aː l a n,N IH IH Y AE L AE N
inicijalno,î n i t͡s i j aː l n o,N IH IH Y AE L N OH
inicijativa,i n i t͡s i j a t ǐː ʋ a,IH N IH IH Y AE T AE
inicijator,i n i t͡s ǐ j aː t o r,IH N IH Y AE T OH R
inje,îː ɲ e,EH
injekcija,i ɲ ě k t͡s i j a,IH K IH Y AE
inkarnacija,i ŋ k a r n ǎː t͡s i j a,IH NG K AE R N IH Y AE
inklinacija,i ŋ k l i n ǎː t͡s i j a,IH NG K L IH N IH Y AE
inkompatibilan,î n k o m p a t i b iː l a n,N K OH M P AE T IH B IH L AE N
inkompatibilno,î n k o m p a t i b iː l n o,N K OH M P AE T IH B IH L N OH
inkorporacija,i ŋ k o r p o r ǎː t͡s i j a,IH NG K OH R P OH R IH Y AE
inkriminacija,i ŋ k r i m i n ǎː t͡s i j a,IH NG K R IH M IH N IH Y AE
inkubacija,i ŋ k u b ǎː t͡s i j a,IH NG K UW B IH Y AE
inkubator,i n k ǔ b aː t o r,IH N K B AE T OH R
inkunabula,i n k u n ǎ b u l a,IH N K UW N B UW L AE
inkvizicija,i ŋ k ʋ i z ǐː t͡s i j a,IH NG K IH Z IH Y AE
inkvizitor,i n k ʋ ǐ z iː t o r,IH N K Z IH T OH R
inkvizitorski,i n k ʋ ǐ z iː t o r s k iː,IH N K Z IH T OH R S K IH
inokulacija,i n o k u l ǎː t͡s i j a,IH N OH K UW L IH Y AE
inostranstvo,i n o s t r ǎː n s t ʋ o,IH N OH S T R N S T OH
inovacija,i n o ʋ ǎː t͡s i j a,IH N OH IH Y AE
inovativan,î n o ʋ a t iː ʋ a n,N OH AE T IH AE N
inovirati,i n o ʋ ǐː r a t i,IH N OH R AE T IH
inozemni,î n o z eː m n iː,N OH Z EH M N IH
inozemstvo,i n o z ěː m s t ʋ o,IH N OH Z M S T OH
insekt,ǐ n s e k t,N S EH K T
insekticid,i n s e k t ǐ t͡s iː d,IH N S EH K T IH D
insolventan,i n s o l ʋ ě n t a n,IH N S OH L N T AE N
inspekcija,i n s p ě k t͡s i j a,IH N S P K IH Y AE
inspekcijski,i n s p ě k t͡s iː j s k iː,IH N S P K IH Y S K IH
inspektor,ǐ n s p e k t o r,N S P EH K T OH R
inspiracija,i n s p i r ǎː t͡s i j a,IH N S P IH R IH Y AE
inspirirati,i n s p i r ǐː r a t i,IH N S P IH R R AE T IH
instalacija,i n s t a l ǎː t͡s i j a,IH N S T AE L IH Y AE
instinkt,ǐ n s t i n k t,N S T IH N K T
instinktivan,î n s t i n k t iː ʋ a n,N S T IH N K T IH AE N
instinktivno,î n s t i n k t iː ʋ n o,N S T IH N K T IH N OH
institucija,i n s t i t ǔː t͡s i j a,IH N S T IH T IH Y AE
institut,i n s t ǐ t uː t,IH N S T T UW T
institutski,i n s t ǐ t uː t s k iː,IH N S T T UW T S K IH
instrukcija,i n s t r ǔ k t͡s i j a,IH N S T R K IH Y AE
instruktivan,î n s t r u k t iː ʋ a n,N S T R UW K T IH AE N
instruktor,ǐ n s t r u k t o r,N S T R UW K T OH R
integracija,i n t e ɡ r ǎː t͡s i j a,IH N T EH G R IH Y AE
integralan,î n t e ɡ r aː l a n,N T EH G R AE L AE N
integralno,î n t e ɡ r aː l n o,N T EH G R AE L N OH
intelekt,i n t ě l e k t,IH N T L EH K T
intelektualac,i n t e l e k t u ǎː l a t͡s,IH N T EH L EH K T UW L AE
intelektualan,î n t e l e k t u aː l a n,N T EH L EH K T UW AE L AE N
intelektualizam,i n t e l e k t u a l ǐ z a m,IH N T EH L EH K T UW AE L Z AE M
intelektualka,i n t e l e k t ǔ aː l k a,IH N T EH L EH K T AE L K AE
intelektualno,î n t e l e k t u aː l n o,N T EH L EH K T UW AE L N OH
intelet,i n t ě l e t,IH N T L EH T
inteligencija,i n t e l i ɡ ě n t͡s i j a,IH N T EH L IH G N IH Y AE
inteligentan,i n t e l i ɡ ě n t a n,IH N T EH L IH G N T AE N
inteligentno,i n t e l i ɡ ě n t n o,IH N T EH L IH G N T N OH
intenzitet,i n t e n z ǐ t eː t,IH N T EH N Z T EH T
intenzivan,î n t e n z iː ʋ a n,N T EH N Z IH AE N
intenzivno,î n t e n z iː ʋ n o,N T EH N Z IH N OH
interakcija,i n t e r ǎ k t͡s i j a,IH N T EH R K IH Y AE
interes,î n t e r eː s,N T EH R EH S
interesantan,i n t e r e s ǎ n t a n,IH N T EH R EH S N T AE N
interesantno,i n t e r e s ǎ n t n o,IH N T EH R EH S N T N OH
interijer,i n t e r ǐ j eː r,IH N T EH R Y EH R
internacionalan,î n t e r n a t͡s i o n aː l a n,N T EH R N AE IH OH N AE L AE N
internacionalist,i n t e r n a t͡s i o n ǎ l i s t,IH N T EH R N AE IH OH N L IH S T
internacionalizam,i n t e r n a t͡s i o n a l ǐ z a m,IH N T EH R N AE IH OH N AE L Z AE M
internet,î n t e r n e t,N T EH R N EH T
interni,î n t eː r n iː,N T EH R N IH
internist,i n t ě r n i s t,IH N T R N IH S T
interpretatorka,i n t e r p r ě t aː t o r k a,IH N T EH R P R T AE T OH R K AE
interpreter,i n t ě r p r e t e r,IH N T R P R EH T EH R
interval,i n t ě r ʋ aː l,IH N T R AE L
intervencija,i n t e r ʋ ě n t͡s i j a,IH N T EH R N IH Y AE
intervju,i n t ě r ʋ j uː,IH N T R Y UW
intiman,î n t iː m a n,N T IH M AE N
intimno,î n t iː m n o,N T IH M N OH
intimnost,i n t ǐː m n oː s t,IH N T M N OH S T
intonacija,i n t o n ǎː t͡s i j a,IH N T OH N IH Y AE
intravenozan,i n t r a ʋ ě n oː z a n,IH N T R AE N OH Z AE N
intravenozno,i n t r a ʋ ě n oː z n o,IH N T R AE N OH Z N OH
intriga,ǐ n t r iː ɡ a,N T R IH G AE
intrigantan,i n t r i ɡ ǎ n t a n,IH N T R IH G N T AE N
intrigantno,i n t r i ɡ ǎ n t n o,IH N T R IH G N T N OH
intrigirati,i n t r i ɡ ǐː r a t i,IH N T R IH G R AE T IH
introspekcija,i n t r o s p ě k t͡s i j a,IH N T R OH S P K IH Y AE
introspektivan,i n t r o s p ě k t iː ʋ a n,IH N T R OH S P K T IH AE N
intuicija,i n t u ǐː t͡s i j a,IH N T UW IH Y AE
intuitivan,î n t u i t iː ʋ a n,N T UW IH T IH AE N
intuitivno,î n t u i t iː ʋ n o,N T UW IH T IH N OH
invalid,i n ʋ ǎ l iː d,IH N L IH D
invaliditet,i n ʋ a l i d ǐ t eː t,IH N AE L IH D T EH T
invalidski,i n ʋ ǎ l iː d s k iː,IH N L IH D S K IH
invazija,ǐ n ʋ aː z i j a,N AE Z IH Y AE
invazijski,ǐ n ʋ aː z iː j s k iː,N AE Z IH Y S K IH
invektiva,i n ʋ e k t ǐː ʋ a,IH N EH K T AE
invencija,i n ʋ ě n t͡s i j a,IH N N IH Y AE
inventivan,î n ʋ e n t iː ʋ a n,N EH N T IH AE N
inventivno,î n ʋ e n t iː ʋ n o,N EH N T IH N OH
inventivnost,i n ʋ e n t ǐː ʋ n oː s t,IH N EH N T N OH S T
inverzan,i n ʋ ě r z a n,IH N R Z AE N
investicija,i n ʋ e s t ǐː t͡s i j a,IH N EH S T IH Y AE
investicijski,i n ʋ e s t ǐː t͡s iː j s k iː,IH N EH S T IH Y S K IH
investirati,i n ʋ e s t ǐː r a t i,IH N EH S T R AE T IH
investitor,i n ʋ ě s t iː t o r,IH N S T IH T OH R
inzulin,i n z ǔ l iː n,IH N Z L IH N
inćun,ǐ n t͡ɕ uː n,N UW N
inč,î n t͡ʃ,N CH
inšalah,ǐ n ʃ a l aː x,N SH AE L AE
inšallah,ǐ n ʃ a l aː x,N SH AE L AE
inženjer,i n ʒ ě ɲ eː r,IH N ZH EH R
inženjerski,i n ʒ ě ɲ eː r s k i,IH N ZH EH R S K IH
inženjerski,i n ʒ ě ɲ eː r s k iː,IH N ZH EH R S K IH
iole,î o l e,OH L EH
ionako,i o n ǎ k oː,IH OH N K OH
ionosfera,i o n o s f ěː r a,IH OH N OH S F R AE
ipak,î p aː k,P AE K
iplik,i p l i k,IH P L IH K
ipokrit,ǐ p o k r i t,P OH K R IH T
irac,ǐː r a t͡s,R AE
iracionalan,î r a t͡s i o n aː l a n,R AE IH OH N AE L AE N
iracionalizam,i r a t͡s i o n a l ǐ z a m,IH R AE IH OH N AE L Z AE M
iracionalno,î r a t͡s i o n aː l n o,R AE IH OH N AE L N OH
irak,ǐ r aː k,R AE K
iran,ǐ r aː n,R AE N
iranac,i r ǎː n a t͡s,IH R N AE
iranski,ǐ r aː n s k iː,R AE N S K IH
iračanin,i r ǎː t͡ʃ a n i n,IH R CH AE N IH N
iračanka,i r ǎː t͡ʃ aː ŋ k a,IH R CH AE NG K AE
irački,ǐ r aː t ʃ k i,R AE T SH K IH
irački,ǐ r aː t ʃ k iː,R AE T SH K IH
irealan,î r e aː l a n,R EH AE L AE N
irealno,î r e aː l n o,R EH AE L N OH
irealnost,i r e ǎː l n oː s t,IH R EH L N OH S T
iredentizam,i r e d e n t ǐ z a m,IH R EH D EH N T Z AE M
iregularan,î r e ɡ u l aː r a n,R EH G UW L AE R AE N
irelevantan,i r e l e ʋ ǎ n t a n,IH R EH L EH N T AE N
irelevantno,i r e l e ʋ ǎ n t n o,IH R EH L EH N T N OH
ireverzibilan,î r e ʋ e r z i b iː l a n,R EH EH R Z IH B IH L AE N
ireverzibilnost,i r e ʋ e r z i b ǐː l n oː s t,IH R EH EH R Z IH B L N OH S T
irha,ǐ r x a,R AE
irigacija,i r i ɡ ǎː t͡s i j a,IH R IH G IH Y AE
iritacija,i r i t ǎː t͡s i j a,IH R IH T IH Y AE
iritirati,i r i t ǐː r a t i,IH R IH T R AE T IH
ironičan,i r ǒ n i t͡ʃ a n,IH R N IH CH AE N
ironično,i r ǒ n i t͡ʃ n o,IH R N IH CH N OH
irska,îː r s k aː,R S K AE
irski,îː r s k iː,R S K IH
isaznati,i s ǎ z n a t i,IH S Z N AE T IH
iscedak,ǐ s t͡s e d a k,S EH D AE K
iscediti,i s t͡s ěː d i t i,IH S D IH T IH
iscelitelj,i s t͡s ě l i t e ʎ,IH S L IH T EH
isceliti,i s t͡s ěː l i t i,IH S L IH T IH
isceljivati,i s t͡s e ʎ ǐː ʋ a t i,IH S EH AE T IH
isceđivati,i s t͡s e d͡ʑ ǐː ʋ a t i,IH S EH AE T IH
iscijediti,i s t͡s i j ěː d i t i,IH S IH Y D IH T IH
iscijeliti,i s t͡s i j ěː l i t i,IH S IH Y L IH T IH
iscjedak,ǐ s t͡s j e d a k,S Y EH D AE K
iscjelitelj,i s t͡s j ě l i t e ʎ,IH S Y L IH T EH
iscjeljivati,i s t͡s j e ʎ ǐː ʋ a t i,IH S Y EH AE T IH
iscjeđivati,i s t͡s j e d͡ʑ ǐː ʋ a t i,IH S Y EH AE T IH
iscrpan,î s t͡s r p a n,S R P AE N
iscrpiti,i s t͡s ř̩ː p i t i,IH S P IH T IH
iscrpljivati,i s t͡s r p ʎ ǐː ʋ a t i,IH S R P AE T IH
iscrpno,ǐ s t͡s r p n o,S R P N OH
iscrpsti,ǐ s t͡s r̄ p s t i,S R P S T IH
iscuriti,i s t͡s ǔː r i t i,IH S R IH T IH
iscurivati,i s t͡s u r ǐː ʋ a t i,IH S UW R AE T IH
isecati,i s ěː t͡s a t i,IH S AE T IH
iseliti,i s ě l i t i,IH S L IH T IH
iseljavati,i s e ʎ ǎː ʋ a t i,IH S EH AE T IH
iseći,ǐ s e t͡ɕ i,S EH IH
ishabati,ǐ s x a b a t i,S AE B AE T IH
ishod,ǐ s x o d,S OH D
ishodište,ǐ s x o d iː ʃ t e,S OH D IH SH T EH
ishrana,î s x r a n a,S R AE N AE
isijecati,i s i j ěː t͡s a t i,IH S IH Y AE T IH
isjeći,ǐ s j e t͡ɕ i,S Y EH IH
iskakati,i s k ǎː k a t i,IH S K K AE T IH
iskaliti,i s k ǎː l i t i,IH S K L IH T IH
iskaljivati,i s k a ʎ ǐː ʋ a t i,IH S K AE AE T IH
iskati,ǐ s k a t i,S K AE T IH
iskazati,i s k ǎː z a t i,IH S K Z AE T IH
iskazivati,i s k a z ǐː ʋ a t i,IH S K AE Z AE T IH
iskaznica,ǐ s k a z n i t͡s a,S K AE Z N IH AE
iskašljati,i s k ǎ ʃ ʎ a t i,IH S K SH AE T IH
iskašljavati,i s k a ʃ ʎ ǎː ʋ a t i,IH S K AE SH AE T IH
iskidati,i s k ǐː d a t i,IH S K D AE T IH
iskidati,ǐ s k i d a t i,S K IH D AE T IH
iskititi,ǐ s k i t i t i,S K IH T IH T IH
isključiti,i s k ʎ ǔː t͡ʃ i t i,IH S K CH IH T IH
isključiv,i s k ʎ ǔ t͡ʃ i ʋ,IH S K CH IH
isključivati,i s k ʎ u t͡ʃ ǐː ʋ a t i,IH S K UW CH AE T IH
isključivo,i s k ʎ ǔ t͡ʃ i ʋ o,IH S K CH IH OH
isključivost,i s k ʎ ǔ t͡ʃ i ʋ oː s t,IH S K CH IH OH S T
iskon,ǐ s k o n,S K OH N
iskonski,ǐ s k o n s k iː,S K OH N S K IH
iskopati,i s k ǒ p a t i,IH S K P AE T IH
iskopavati,i s k o p ǎː ʋ a t i,IH S K OH P AE T IH
iskorak,î s k o r aː k,S K OH R AE K
iskoreniti,i s k o r ěː n i t i,IH S K OH R N IH T IH
iskorenjivati,i s k o r e ɲ ǐː ʋ a t i,IH S K OH R EH AE T IH
iskorijeniti,i s k o r j ěː n i t i,IH S K OH R Y N IH T IH
iskoristiti,i s k o r ǐ s t i t i,IH S K OH R S T IH T IH
iskoristiv,i s k o r ǐ s t i ʋ,IH S K OH R S T IH
iskoristivost,i s k o r ǐ s t i ʋ oː s t,IH S K OH R S T IH OH S T
iskorištavati,i s k o r i ʃ t ǎː ʋ a t i,IH S K OH R IH SH T AE T IH
iskorjenitelj,i s k o r j ě n i t e ʎ,IH S K OH R Y N IH T EH
iskorjenjivati,i s k o r j e ɲ ǐː ʋ a t i,IH S K OH R Y EH AE T IH
iskočiti,i s k ǒ t͡ʃ i t i,IH S K CH IH T IH
iskra,î s k r a,S K R AE
iskradati,i s k r ǎː d a t i,IH S K R D AE T IH
iskrasti,ǐ s k r a s t i,S K R AE S T IH
iskrcati,i s k ř̩ t͡s a t i,IH S K AE T IH
iskrcavati,i s k r t͡s ǎː ʋ a t i,IH S K R AE T IH
iskren,î s k r e n,S K R EH N
iskreno,î s k r e n o,S K R EH N OH
iskrenost,î s k r e n oː s t,S K R EH N OH S T
iskrica,î s k r i t͡s a,S K R IH AE
iskriti,î s k r i t i,S K R IH T IH
iskričav,î s k r i t͡ʃ a ʋ,S K R IH CH AE
iskričavo,î s k r i t͡ʃ a ʋ o,S K R IH CH AE OH
iskrvariti,i s k r ʋ ǎː r i t i,IH S K R R IH T IH
iskrvaviti,i s k r ʋ ǎː ʋ i t i,IH S K R IH T IH
iskrčiti,i s k ř̩ː t͡ʃ i t i,IH S K CH IH T IH
iskrčivati,i s k r t͡ʃ ǐː ʋ a t i,IH S K R CH AE T IH
iskusan,î s k uː s a n,S K UW S AE N
iskusiti,i s k ǔː s i t i,IH S K S IH T IH
iskustven,i s k ǔ s t ʋ e n,IH S K S T EH N
iskustvo,i s k ǔː s t ʋ o,IH S K S T OH
iskušati,ǐ s k u ʃ a t i,S K UW SH AE T IH
iskušavati,i s k u ʃ ǎː ʋ a t i,IH S K UW SH AE T IH
iskvariti,i s k ʋ ǎː r i t i,IH S K R IH T IH
islam,ǐ s l aː m,S L AE M
islamizacija,i s l a m i z ǎː t͡s i j a,IH S L AE M IH Z IH Y AE
islamizirati,i s l a m i z ǐː r a t i,IH S L AE M IH Z R AE T IH
islamski,ǐ s l aː m s k i,S L AE M S K IH
islamski,ǐ s l aː m s k iː,S L AE M S K IH
island,ǐ s l a n d,S L AE N D
islandski,ǐ s l a n d s k iː,S L AE N D S K IH
islanđanin,i s l ǎː n d͡ʑ a n i n,IH S L N AE N IH N
ismejati,i s m ě j a t i,IH S M Y AE T IH
ismejavati,i s m e j ǎː ʋ a t i,IH S M EH Y AE T IH
ismijati,i s m ǐ j a t i,IH S M Y AE T IH
ismijavati,i s m i j ǎː ʋ a t i,IH S M IH Y AE T IH
ispadati,ǐ s p a d a t i,S P AE D AE T IH
ispasti,ǐ s p a s t i,S P AE S T IH
ispatiti,ǐ s p a t i t i,S P AE T IH T IH
ispeći,ǐ s p e t͡ɕ i,S P EH IH
ispijati,i s p ǐː j a t i,IH S P Y AE T IH
ispiliti,i s p ǐː l i t i,IH S P L IH T IH
ispirati,ǐ s p i r a t i,S P IH R AE T IH
ispisati,i s p ǐː s a t i,IH S P S AE T IH
ispisivati,i s p i s ǐː ʋ a t i,IH S P IH S AE T IH
ispit,ǐ s p i t,S P IH T
ispitati,i s p ǐː t a t i,IH S P T AE T IH
ispiti,ǐ s p i t i,S P IH T IH
ispitivalac,i s p i t ǐ ʋ a l a t͡s,IH S P IH T AE L AE
ispitivanje,i s p i t ǐː ʋ aː ɲ e,IH S P IH T AE EH
ispitivati,i s p i t ǐː ʋ a t i,IH S P IH T AE T IH
ispitivač,i s p i t ǐ ʋ aː t͡ʃ,IH S P IH T AE CH
ispitivački,i s p i t ǐ ʋ aː t͡ʃ k iː,IH S P IH T AE CH K IH
ispitni,ǐ s p i t n iː,S P IH T N IH
isplata,î s p l a t a,S P L AE T AE
isplatiti,i s p l ǎː t i t i,IH S P L T IH T IH
isplativ,i s p l ǎ t i ʋ,IH S P L T IH
isplativost,i s p l ǎ t i ʋ oː s t,IH S P L T IH OH S T
isplaćivati,i s p l a t͡ɕ ǐː ʋ a t i,IH S P L AE AE T IH
isplesti,ǐ s p l e s t i,S P L EH S T IH
ispletati,ǐ s p l e t a t i,S P L EH T AE T IH
isplivati,ǐ s p l i ʋ a t i,S P L IH AE T IH
isploviti,i s p l ǒ ʋ i t i,IH S P L IH T IH
ispod,î s p o d,S P OH D
ispomoć,î s p o m oː t͡ɕ,S P OH M OH
isporuka,î s p o r u k a,S P OH R UW K AE
isporučiti,i s p o r ǔː t͡ʃ i t i,IH S P OH R CH IH T IH
isporučivati,i s p o r u t͡ʃ ǐː ʋ a t i,IH S P OH R UW CH AE T IH
ispostaviti,i s p ǒ s t a ʋ i t i,IH S P S T AE IH T IH
ispostavljati,i s p ǒ s t a ʋ ʎ a t i,IH S P S T AE AE T IH
ispoved,î s p o ʋ eː d,S P OH EH D
ispovest,ǐ s p o ʋ eː s t,S P OH EH S T
ispovijed,î s p o ʋ j eː d,S P OH Y EH D
ispovijest,ǐ s p o ʋ j eː s t,S P OH Y EH S T
isprati,ǐ s p r a t i,S P R AE T IH
isprava,î s p r a ʋ a,S P R AE AE
ispravak,ǐ s p r a ʋ a k,S P R AE AE K
ispravan,î s p r aː ʋ a n,S P R AE AE N
ispraviti,ǐ s p r a ʋ i t i,S P R AE IH T IH
ispravljati,ǐ s p r a ʋ ʎ a t i,S P R AE AE T IH
isprazan,î s p r aː z a n,S P R AE Z AE N
isprazniti,i s p r ǎː z n i t i,IH S P R Z N IH T IH
ispražnjavati,i s p r a ʒ ɲ ǎː ʋ a t i,IH S P R AE ZH AE T IH
ispred,î s p r e d,S P R EH D
ispresti,ǐ s p r e s t i,S P R EH S T IH
ispričati,i s p r ǐː t͡ʃ a t i,IH S P R CH AE T IH
ispričavati,i s p r i t͡ʃ ǎː ʋ a t i,IH S P R IH CH AE T IH
isprljati,i s p řː ʎ a t i,IH S P AE T IH
isprobati,i s p r ǒː b a t i,IH S P R B AE T IH
ispuhati,i s p ǔː x a t i,IH S P AE T IH
ispuniti,ǐ s p u n i t i,S P UW N IH T IH
ispunjavati,i s p u ɲ ǎː ʋ a t i,IH S P UW AE T IH
ispunjiv,i s p ǔ ɲ i ʋ,IH S P IH
ispustiti,i s p ǔ s t i t i,IH S P S T IH T IH
ispušiti,ǐ s p u ʃ i t i,S P UW SH IH T IH
ispuštati,i s p ǔː ʃ t a t i,IH S P SH T AE T IH
istaknut,ǐ s t a k n uː t,S T AE K N UW T
istaknuti,i s t ǎ k n u t i,IH S T K N UW T IH
istaknutost,ǐ s t a k n uː t oː s t,S T AE K N UW T OH S T
istanbul,ǐ s t a n b u l,S T AE N B UW L
